Data,Polaridade,Subjetividade,qtde
20151125,0.0,2.0,2
20151126,0.0,6.0,6
20151128,0.0,2.0,2
20151201,7.036785714285714,175.70707070707067,136
20151204,8.222943722943722,181.65173160173157,144
20151207,0.3333333333333334,13.966666666666667,12
20151208,0.0,6.0,6
20151210,0.0,6.6,4
20151214,0.0,2.0,2
20151215,3.1666666666666665,18.5,12
20151221,1.2916666666666665,11.966666666666665,8
20170101,0.0,1.0,1
20170102,0.4,4.5,4
20170103,1.8624999999999998,5.65,4
20170104,-0.3,6.9,5
20170105,0.0,1.0,1
20170106,0.875,3.6,3
20170109,1.0,3.0,2
20170110,0.875,2.6,2
20170111,0.4375,2.6,2
20170112,0.6,2.8499999999999996,2
20170113,0.35,2.35,2
20170116,-0.19999999999999998,2.8499999999999996,2
20170117,1.2583333333333333,5.566666666666666,4
20170118,0.0,1.0,1
20170123,0.6272727272727273,3.245454545454545,2
20170124,1.05,4.55,3
20170125,-0.0068181818181818205,2.643939393939394,2
20170126,0.0,1.0,1
20170127,0.0,2.0,2
20170130,2.99375,11.6,8
20170131,1.225,2.95,2
20170201,0.9857142857142857,3.1357142857142857,2
20170202,1.35,3.4,2
20170203,0.3333333333333333,2.6666666666666665,2
20170205,0.125,1.2,1
20170206,3.25,8.75,6
20170207,0.0,1.0,1
20170208,0.3,1.2,1
20170209,0.38,2.63,2
20170214,0.9333333333333332,5.300000000000001,4
20170215,0.0,1.0,1
20170216,0.85,2.0,1
20170220,0.0,1.0,1
20170221,1.6583333333333332,4.891666666666667,3
20170222,1.525,6.7785714285714285,5
20170223,0.75,3.675,3
20170227,0.0,1.0,1
20170301,0.1,1.5,1
20170302,1.35,6.0625,4
20170303,0.5,1.625,1
20170306,1.4,4.2,3
20170307,0.35,2.8,2
20170308,0.5,2.0,1
20170309,0.0,1.0,1
20170310,0.0,1.0,1
20170313,0.1125,2.4125,2
20170315,1.3181818181818181,6.827272727272727,5
20170317,0.0,1.0,1
20170320,0.0,7.3999999999999995,6
20170321,-0.3,1.4,1
